Date/Time,Address,Location,Call Type,Description,Incident Number,Duration
3/1/15 22:24,100 BLK 2 ST S,Fargo,Loud Party/People,LOUD PEOPLE TALKING,2015-00013350,0:17:27
3/1/15 2:24,2100 BLK 9 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00013214,0:53:16
3/1/15 1:42,3300 BLK 15 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00013208,1:33:34
2/28/15 23:16,3600 BLK 42 ST S,Fargo,Loud Party/People,LOUD PARTY,,0:03:54
2/28/15 22:10,900 BLK 44 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00013151,1:24:14
2/28/15 22:04,4900 BLK 47 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00013161,1:45:16
2/28/15 19:03,1000 BLK 5 ST N,Fargo,Loud Party/People,LOUD PEOPLE POSSIBLY SMOKING MJ,2015-00013127,0:36:36
2/28/15 1:43,1100 BLK 19 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00013004,0:44:47
2/28/15 1:19,900 BLK 43 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00012985,0:30:53
2/27/15 23:08,4400 BLK 47 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00012943,0:24:43
2/27/15 3:26,1000 BLK 18 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00012763,1:30:30
2/26/15 17:13,1300 BLK 3 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00012635,1:01:38
2/25/15 23:14,3200 BLK 20 ST S,Fargo,Loud Party/People,LOUD DRUMS,2015-00012457,0:38:02
2/25/15 23:05,1400 BLK 12 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00012453,0:22:15
2/24/15 23:42,1100 BLK 19 ST S,Moorhead,Loud Party/People,LOUD MUSIC/PARTY,2015-00005084,0:22:02
2/24/15 22:43,1300 BLK 3 AVE S,Fargo,Loud Party/People,LOUD PARTY,,0:38:32
2/22/15 3:07,5000 BLK AMBER VALLEY PKWY S,Fargo,Loud Party/People,LOUD PARTY,2015-00011649,0:44:52
2/22/15 2:40,0 BLK 15 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00011640,0:43:09
2/22/15 1:45,1900 BLK DAKOTA DR N,Fargo,Loud Party/People,LOUD PARTY,2015-00011629,0:14:33
2/22/15 0:53,1500 BLK 11 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00011611,0:47:43
2/21/15 23:29,900 BLK 17 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00011581,0:36:55
