"Address","Number","Lon","Lat"
"400 14 ST N MOORHEAD, MN",2,-96.7573372,46.8792651
"400 16 ST S MOORHEAD, MN",2,-96.754434,46.8706021
"400 23 ST S FARGO, ND",2,-96.8168734,46.8716039
"400 30 AVE N FARGO, ND",2,-96.7849679,46.9159167
"4000 34 AVE S FARGO, ND",2,-96.8537811,46.8281465
"4200 33 AVE S FARGO, ND",2,-96.8525229,46.8298794
"4200 47 ST S FARGO, ND",2,-96.8666776,46.8168845
"4200 9 AVE S FARGO, ND",2,-96.8509719,46.8667882
"4300 15 AVE S FARGO, ND",2,-96.8537322,46.8582288
"4600 33 AVE S FARGO, ND",2,-96.8643079,46.8297011
"4600 SAN JUAN DR S FARGO, ND",2,-96.8573051,46.8704764
"4700 CHELSEA LN S FARGO, ND",2,-96.8674467,46.8278665
"4900 16 AVE S FARGO, ND",2,-96.8689206,46.8571529
"4900 51 ST S FARGO, ND",2,-96.8727844,46.8074955
"500 30 AVE S MOORHEAD, MN",2,-96.7717913,46.8440597
"500 33 AVE W WEST FARGO, ND",2,-96.9127572,46.8322768
"500 4 AVE NW WEST FARGO, ND",2,-96.9064652,46.8809737
"500 4 ST N FARGO, ND",2,-96.7846822,46.8811805
"5000 28 AVE S FARGO, ND",2,-96.873245,46.838938
"5100 44 AVE S FARGO, ND",2,-96.8748707,46.8132993
"5300 30 AVE S FARGO, ND",2,-96.8615106,46.8363682
"5300 AMBER VALLEY PKWY S FARGO, ND",2,-96.8762416,46.8420724
"5400 AMBER VALLEY PKWY S FARGO, ND",2,-96.8762416,46.8420724
"6600 7 ST SW MOORHEAD, MN",2,-96.7946917,46.7972404
"700 10 AVE N FARGO, ND",2,-96.7894789,46.8867342
"700 29 ST N FARGO, ND",2,-96.8253661,46.883255
"700 7 ST N FARGO, ND",2,-96.7894657,46.8831741
"700 8 ST N FARGO, ND",2,-96.7909154,46.883161
"800 1 ST WEST FARGO, ND",2,-96.8999216,46.8687921
"800 10 ST S FARGO, ND",2,-96.7949015,46.8667866
"800 2 AVE N MOORHEAD, MN",2,-96.7678319,46.8771597
"800 33 AVE N FARGO, ND",2,-96.7886543,46.9206088
"800 36 AVE E WEST FARGO, ND",2,-96.8856713,46.8258351
"800 4 AVE S MOORHEAD, MN",2,-96.7678699,46.8706645
"800 42 ST S FARGO, ND",2,-96.8508352,46.8678949
"900 24 AVE S MOORHEAD, MN",2,-96.7657875,46.8513907
"900 41 AVE W WEST FARGO, ND",2,-96.9154959,46.8179734
"900 44 ST S FARGO, ND",2,-96.8587056,46.8663538
"900 5 AVE S FARGO, ND",2,-96.7932365,46.8694083
"900 9 ST W WEST FARGO, ND",2,-96.9144862,46.8674213
"900 BROADWAY N FARGO, ND",2,-96.7878065,46.8858883
"900 COUNTRYSIDE TRAILER CT S FARGO, ND",2,-96.8182566,46.8657459
" MOORHEAD, MN",1,-96.7678039,46.8737648
"0 1 AVE NE DILWORTH, MN",1,-96.7031003,46.8775317
"0 15 ST S FARGO, ND",1,-96.803931,46.8753343
"0 2 ST S FARGO, ND",1,-96.8568786,46.8754595
"0 3 ST NW DILWORTH, MN",1,-96.7074001,46.8765219
"0 4 ST S MOORHEAD, MN",1,-96.7739198,46.8744378
"0 8 AVE N CASSELTON, ND",1,-97.2095675,46.9025214
"0 9 ST S FARGO, ND",1,-96.8828407,46.876543
"0 BRIARWOOD PL FARGO, ND",1,-96.797917,46.7863754
"0 BROADWAY S FARGO, ND",1,-96.7879207,46.874396
"0 EAST LYNMAR N FARGO, ND",1,-96.7854387,46.9198239
"0 MAYFAIR DR MOORHEAD, MN",1,-96.741353,46.881302
"1 AVE N MOORHEAD, MN",1,-96.7619341,46.8761183
"1 ST N FARGO, ND",1,-96.780183,46.9019456
"10 ST S MOORHEAD, MN",1,-96.7643404,46.8509686
"100 10 ST N MOORHEAD, MN",1,-96.7647623,46.8761401
"100 155 ST S GLYNDON, MN",1,-96.4740344,46.8699564
"100 16 ST S FARGO, ND",1,-96.8068585,46.8740099
"100 19 AVE N FARGO, ND",1,-96.77997,46.903752
"100 3 ST SE ULEN, MN",1,-96.2550812,47.0787158
"100 30 AVE E WEST FARGO, ND",1,-96.9005858,46.8365089
"100 50 AVE E WEST FARGO, ND",1,-96.8986892,46.8059469
"100 6 AVE S CASSELTON, ND",1,-97.2131211,46.8995251
"100 MAIN AVE E WEST FARGO, ND",1,-96.899723,46.8769578
"1000 10 AVE N FARGO, ND",1,-96.7938309,46.8867501
"1000 11 AVE S MOORHEAD, MN",1,-96.7648524,46.8630708
"1000 16 ST N MOORHEAD, MN",1,-96.7537749,46.8856166
"1000 24 AVE S MOORHEAD, MN",1,-96.7641146,46.8513452
"1000 28 AVE S MOORHEAD, MN",1,-96.7651437,46.847947
"1000 3 ST S MOORHEAD, MN",1,-96.775082,46.8640856
"1000 32 AVE S MOORHEAD, MN",1,-96.7645862,46.8419506
"1000 42 ST S FARGO, ND",1,-96.850908,46.8652424
"1000 5 ST N FARGO, ND",1,-96.7862447,46.8867483
"1000 7 ST N FARGO, ND",1,-96.7894834,46.8867649
"1000 8 ST N FARGO, ND",1,-96.7910807,46.8877306
"1000 8 ST N MOORHEAD, MN",1,-96.7673328,46.8857516
"1000 WESTPORT PKWY WEST FARGO, ND",1,-96.9168944,46.8165463
"1100 1 AVE N FARGO, ND",1,-96.7955474,46.8773679
"1100 1 ST N FARGO, ND",1,-96.7801735,46.8885618
"1100 10 ST N FARGO, ND",1,-96.7937938,46.8885521
"1100 11 ST S MOORHEAD, MN",1,-96.762374,46.86301
"1100 13 ST N MOORHEAD, MN",1,-96.7594482,46.8866008
"1100 13 ST S MOORHEAD, MN",1,-96.75936,46.862808
"1100 16 ST N FARGO, ND",1,-96.8061964,46.8886208
"1100 27 ST N FARGO, ND",1,-96.8226923,46.8886879
"1100 3 ST N FARGO, ND",1,-96.7832057,46.8885486
"1100 38 1/2 AVE W WEST FARGO, ND",1,-96.9194507,46.8224328
"1100 5 AVE S FARGO, ND",1,-96.7963401,46.8695961
"1100 7 ST N FARGO, ND",1,-96.7894687,46.8885825
"1100 BELSLY BLVD MOORHEAD, MN",1,-96.76395,46.8401508
"12 ST S MOORHEAD, MN",1,-96.7613307,46.8549412
"1200 1 ST WEST FARGO, ND",1,-96.900383,46.863421
"1200 11 ST N MOORHEAD, MN",1,-96.7624928,46.8875991
"1200 12 ST N FARGO, ND",1,-96.7967348,46.8903903
"1200 12 ST N MOORHEAD, MN",1,-96.7609397,46.887603
"1200 12 ST S MOORHEAD, MN",1,-96.7613007,46.8621649
"1200 14 AVE N FARGO, ND",1,-96.7966666,46.8952021
"1200 15 ST N MOORHEAD, MN",1,-96.7559815,46.887797
"1200 17 AVE N FARGO, ND",1,-96.7965708,46.9011262
"1200 2 AVE N FARGO, ND",1,-96.7970174,46.8783892
"1200 2 ST E WEST FARGO, ND",1,-96.8980492,46.8629218
"1200 27 AVE S MOORHEAD, MN",1,-96.7595608,46.8485734
"1200 28 AVE S MOORHEAD, MN",1,-96.759843,46.8477404
"1200 34 AVE S MOORHEAD, MN",1,-96.760862,46.8398014
"1200 6 AVE S MOORHEAD, MN",1,-96.7612758,46.8682521
"1200 6 ST S MOORHEAD, MN",1,-96.770965,46.8620059
"1200 8 ST N FARGO, ND",1,-96.790789,46.8903863
"1200 9 ST N FARGO, ND",1,-96.7923118,46.8904064
"1200 JETVIG BLVD HAWLEY, MN",1,-96.3280353,46.8756916
"1200 OAK ST N FARGO, ND",1,-96.7786766,46.8903751
"12400 250 ST N ULEN, MN",1,-96.2788884,47.026241
"1300 10 AVE N FARGO, ND",1,-96.7981553,46.886782
"1300 11 AVE N FARGO, ND",1,-96.7981494,46.8885694
"1300 11 AVE S MOORHEAD, MN",1,-96.759761,46.8630543
"1300 12 AVE S MOORHEAD, MN",1,-96.7597821,46.862204
"1300 14 ST S FARGO, ND",1,-96.8014608,46.8615723
"1300 17 ST S FARGO, ND",1,-96.8090519,46.8615557
"1300 18 AVE S MOORHEAD, MN",1,-96.7598203,46.8565977
"1300 19 1/2 ST S MOORHEAD, MN",1,-96.749049,46.8612785
"1300 2 AVE N FARGO, ND",1,-96.7982402,46.8784019
"1300 28 AVE S MOORHEAD, MN",1,-96.7583237,46.8477453
"1300 3 ST S MOORHEAD, MN",1,-96.7750949,46.8611022
"1300 32 STREET CIR S MOORHEAD, MN",1,-96.7293545,46.8606739
"1300 4 AVE N FARGO, ND",1,-96.7982363,46.8805002
"1300 6 ST E WEST FARGO, ND",1,-96.8916582,46.8623077
"1300 8 AVE N FARGO, ND",1,-96.7981776,46.8846556
"1300 COSSETTE DR FARGO, ND",1,-96.7985746,46.7608948
"1300 MAIN ST HAWLEY, MN",1,-96.3272892,46.8786762
"1400 1 AVE S FARGO, ND",1,-96.801093,46.8739686
"1400 12 ST E WEST FARGO, ND",1,-96.8800604,46.8606877
"1400 13 AVE S FARGO, ND",1,-96.8019746,46.8615746
"1400 16 1/2 ST S FARGO, ND",1,-96.807563,46.8595942
"1400 16 ST S FARGO, ND",1,-96.8060173,46.8595691
"1400 16 ST S MOORHEAD, MN",1,-96.7545356,46.860343
"1400 20 ST S FARGO, ND",1,-96.8141192,46.8224715
"1400 25 AVE S FARGO, ND",1,-96.8016815,46.8434381
"1400 32 ST S FARGO, ND",1,-96.830154,46.8591316
"1400 33 ST S FARGO, ND",1,-96.83246,46.8606758
"1400 4 AVE N FARGO, ND",1,-96.8009604,46.8804988
"1400 4 ST N FARGO, ND",1,-96.7846,46.8951951
"1400 5 AVE S FARGO, ND",1,-96.8012065,46.8697305
"1400 5 ST S MOORHEAD, MN",1,-96.7724902,46.8601415
"1400 6 AVE N MOORHEAD, MN",1,-96.7573181,46.8813538
"1400 6 AVE S MOORHEAD, MN",1,-96.7574817,46.8682599
"1400 6 ST S MOORHEAD, MN",1,-96.7709746,46.860061
"1400 8 AVE N FARGO, ND",1,-96.8012148,46.8846456
"1400 9 AVE S FARGO, ND",1,-96.8012417,46.8657617
"1400 BROADWAY N FARGO, ND",1,-96.7876654,46.8951877
"1400 EAST GATEWAY CIR S FARGO, ND",1,-96.8246195,46.8595097
"1400 OAK MANOR AVE S FARGO, ND",1,-96.8014641,46.8455462
"1400 UNIVERSITY DR N FARGO, ND",1,-96.7981159,46.8952151
"1500 11 AVE E WEST FARGO, ND",1,-96.8046696,46.8885872
"1500 12 ST N FARGO, ND",1,-96.7966443,46.8976108
"1500 16 1/2 ST S FARGO, ND",1,-96.8075577,46.8576245
"1500 20 ST S MOORHEAD, MN",1,-96.7555247,46.8549914
"1500 30 AVE S FARGO, ND",1,-96.8019206,46.834812
"1500 32 AVE S FARGO, ND",1,-96.8018969,46.8326189
"1500 35 ST S FARGO, ND",1,-96.8380666,46.8569399
"1500 4 AVE N FARGO, ND",1,-96.8036764,46.8805255
"1500 4 ST S MOORHEAD, MN",1,-96.7736523,46.8592575
"1500 48 ST S FARGO, ND",1,-96.8660392,46.8591225
"1500 6 ST S FARGO, ND",1,-96.788984,46.8576334
"1500 EAST GATEWAY CIR S FARGO, ND",1,-96.8217001,46.8575788
"155 AVE SE AMENIA, ND",1,-97.2192616,47.0071412
"16 ST S FARGO, ND",1,-96.8060357,46.8595889
"1600 10 ST N FARGO, ND",1,-96.7936131,46.8994591
"1600 12 ST N FARGO, ND",1,-96.7966057,46.8994557
"1600 2 AVE S FARGO, ND",1,-96.8068985,46.8729596
"1600 20 ST S MOORHEAD, MN",1,-96.7545336,46.8550101
"1600 29 AVE S FARGO, ND",1,-96.8039627,46.8359728
"1600 4 AVE S MOORHEAD, MN",1,-96.7544371,46.8706282
"1600 4 ST N FARGO, ND",1,-96.7845194,46.8994072
"1600 41 AVE S FARGO, ND",1,-96.806563,46.8174692
"1600 51 ST S FARGO, ND",1,-96.8710336,46.8574836
"1600 8 ST S MOORHEAD, MN",1,-96.7680521,46.858422
"1600 ASH PL WEST FARGO, ND",1,-96.8750913,46.8557093
"1600 UNIVERSITY DR N FARGO, ND",1,-96.7980534,46.8997093
"1700 1 AVE N MOORHEAD, MN",1,-96.7527029,46.8761055
"1700 17 AVE S FARGO, ND",1,-96.8091253,46.8542983
"1700 2 ST N FARGO, ND",1,-96.7815078,46.9012131
"1700 25 AVE S FARGO, ND",1,-96.808913,46.842729
"1700 40 AVE S MOORHEAD, MN",1,-96.7495428,46.8331286
"1700 6 ST S MOORHEAD, MN",1,-96.771036,46.8574807
"1800 13 1/2 ST S FARGO, ND",1,-96.8000462,46.851906
"1800 16 ST S FARGO, ND",1,-96.8061018,46.8519137
"1800 2 AVE S FARGO, ND",1,-96.8102674,46.8729787
"1800 20 ST S MOORHEAD, MN",1,-96.7516849,46.8549775
"1800 40 AVE S MOORHEAD, MN",1,-96.7466673,46.8331285
"1800 42 ST S FARGO, ND",1,-96.8511197,46.8516654
"1800 49 ST S FARGO, ND",1,-96.8690139,46.8529362
"1800 9 AVE S MOORHEAD, MN",1,-96.7518756,46.8651058
"1800 BELSLY BLVD MOORHEAD, MN",1,-96.7499226,46.8419714
"1800 BROADWAY N FARGO, ND",1,-96.7874817,46.9030636
"1800 MAIN AVE E WEST FARGO, ND",1,-96.8704376,46.8764935
"1800 UNIVERSITY DR N FARGO, ND",1,-96.8013852,46.9029884
"19 AVE NW WEST FARGO, ND",1,-96.9336259,46.9062205
"19 ST N MOORHEAD, MN",1,-96.7494666,46.8834244
"1900 19 ST S FARGO, ND",1,-96.811757,46.8501744
"1900 4 AVE E WEST FARGO, ND",1,-96.869557,46.871984
"1900 6 AVE S MOORHEAD, MN",1,-96.7496224,46.868257
"1900 ROGER MARIS DR S FARGO, ND",1,-96.7807814,46.8506494
"2 ST N FARGO, ND",1,-96.7815472,46.8988474
"200 11 ST N MOORHEAD, MN",1,-96.7626094,46.8771285
"200 12 ST S MOORHEAD, MN",1,-96.7612033,46.8726842
"200 16 ST S MOORHEAD, MN",1,-96.7543997,46.8726747
"200 17 1/2 ST E WEST FARGO, ND",1,-96.8715028,46.8735694
"200 20 ST E WEST FARGO, ND",1,-96.8686498,46.8735454
"200 24 ST S FARGO, ND",1,-96.8180916,46.8739651
